,Brand_Name,Turnover
0,3m,274617656.1334817
1,adidas,4396947.028804089
2,adobe,512227921.74313045
3,airbnb,840795740.1413975
4,amazon,3345749008.5467505
5,amd,1647706478.613114
6,american eagle outfitters,57673272.04384785
7,american express,341798333.99100757
8,apple,5373250079.511589
9,block,888081217.9664075
10,bmw group,761111.2162714606
11,chipotle,321171826.06343925
12,cisco,869983665.2174383
13,coinbase,1584481467.6726625
14,colgate palmolive,184797670.62258053
15,costco,420462124.2116867
16,crocs,73260500.50921693
17,delta air lines,334748462.9234191
18,fedex,266963823.21032447
19,foot locker,59174002.41076005
20,google,2499194293.949512
21,hershey company,95492386.65871003
22,hilton,231121854.17116064
23,honda,16764091.834550546
24,johnson & johnson,654933556.4289289
25,jpmorgan chase & co,960678274.8899765
26,logitech,17687140.35499477
27,lvmh,9602417.130855046
28,marriott,166023026.80179173
29,mastercard,678058825.2054465
30,mcdonald's,408086197.3687233
31,microsoft,2864484772.772495
32,netflix,1261142880.8482761
33,nike,368541545.0041161
34,nintendo,10161255.776312554
35,nordstrom,79034813.12497225
36,nvidia,3958805107.472538
37,peloton,459413883.0527502
38,philips,25696409.79651457
39,pinterest,416294508.08225703
40,porsche,1189445.9308458657
41,procter & gamble,563579103.5218775
42,puma,19409.686802540204
43,roblox,678858918.4219731
44,salesforce / slack,613401778.4039981
45,shopify,781454129.9411305
46,southwest airlines,164256273.18568796
47,spotify,398339087.920686
48,starbucks,361401565.05636466
49,target,333610414.8511469
50,tesla,9128517724.686611
51,the coca-cola company,438161414.75174624
52,the home depot,553252958.6009343
53,the walt disney company,642629180.8828831
54,toyota,34807537.27662653
55,uber,1052687571.522248
56,ubisoft,698454.6477797918
57,unilever,43792919.66574494
58,visa,995108236.670676
59,zoom video communications,869585097.0643964
60,zoominfo,135932623.71327192
