,Brand_Name,year,YoY_Growth (%)
0,3m,2022,48.21163031838493
1,3m,2023,-39.733299566285204
2,3m,2024,48.274219836901096
3,3m,2025,-74.76764652626483
4,adidas,2022,35.33272353844599
5,adidas,2023,-62.194189304553404
6,adidas,2024,30.5930263949161
7,adidas,2025,-88.55026505598357
8,adobe,2022,5.740439022359452
9,adobe,2023,5.176014002181908
10,adobe,2024,33.03393715929748
11,adobe,2025,-83.00247583466492
12,airbnb,2022,-25.972305478927044
13,airbnb,2023,2.9073598147134736
14,airbnb,2024,-13.265412851907483
15,airbnb,2025,-76.6516838450181
16,amazon,2022,-17.0497022453477
17,amazon,2023,-25.046984172862352
18,amazon,2024,20.99963508622558
19,amazon,2025,-77.83102623778184
20,amd,2022,57.55710952500132
21,amd,2023,-24.280278978055378
22,amd,2024,45.23249794717402
23,amd,2025,-89.38952522134615
24,american eagle outfitters,2022,-30.6733677065974
25,american eagle outfitters,2023,-21.290484031468715
26,american eagle outfitters,2024,57.13884934212974
27,american eagle outfitters,2025,-86.73574935543506
28,american express,2022,2.0661937236239782
29,american express,2023,-7.44879285191131
30,american express,2024,48.970324135845864
31,american express,2025,-77.98047513514295
32,apple,2022,6.826982250609006
33,apple,2023,-24.556143731424104
34,apple,2024,29.511435741010096
35,apple,2025,-79.55390999922719
36,block,2022,-28.61079992170623
37,block,2023,-47.32507156040886
38,block,2024,-16.452793429916518
39,block,2025,-83.43082772280681
40,bmw group,2022,0.34380694206355505
41,bmw group,2023,-15.543179267559996
42,bmw group,2024,1240.8964967954482
43,bmw group,2025,-96.43063120473212
44,chipotle,2022,1.058865707441272
45,chipotle,2023,18.040353868257853
46,chipotle,2024,64.63801642373176
47,chipotle,2025,-83.59791506192154
48,cisco,2022,3.465354322253126
49,cisco,2023,-5.553503321133368
50,cisco,2024,16.534666248777466
51,cisco,2025,-75.31568786403014
52,coinbase,2022,-24.188361634400522
53,coinbase,2023,22.580544718527378
54,coinbase,2024,147.31497111739031
55,coinbase,2025,-80.59671449006733
56,colgate palmolive,2022,9.62682652671668
57,colgate palmolive,2023,-2.365762817320133
58,colgate palmolive,2024,31.070749046640472
59,colgate palmolive,2025,-78.16371182785356
60,costco,2022,36.22038232622701
61,costco,2023,-20.006172027737428
62,costco,2024,82.53732991984246
63,costco,2025,-75.34935190587959
64,crocs,2022,-17.94466359560478
65,crocs,2023,29.6146763611951
66,crocs,2024,4.339655828488203
67,crocs,2025,-80.2347108625616
68,delta air lines,2022,-14.586060460119057
69,delta air lines,2023,-15.22452715116131
70,delta air lines,2024,24.270507518508623
71,delta air lines,2025,-74.85735119234289
72,fedex,2022,-13.036669765112311
73,fedex,2023,-11.348989584820542
74,fedex,2024,12.91488881271394
75,fedex,2025,-82.51747725328963
76,foot locker,2022,0.43657647384051046
77,foot locker,2023,20.085551727668133
78,foot locker,2024,-10.500365113914608
79,foot locker,2025,-85.06022608717232
80,google,2022,7.212353930347411
81,google,2023,-4.46627594460686
82,google,2024,30.698128994828394
83,google,2025,-75.95609181969144
84,hershey company,2022,49.91789044848689
85,hershey company,2023,28.27012210879168
86,hershey company,2024,37.40933668602842
87,hershey company,2025,-80.1040224921849
88,hilton,2022,8.57725474067546
89,hilton,2023,-16.658210201292093
90,hilton,2024,46.96368378525641
91,hilton,2025,-77.16255584088346
92,honda,2022,26.766324653154477
93,honda,2023,2.0455649351058844
94,honda,2024,13.52612417986746
95,honda,2025,-78.4944647033909
96,johnson & johnson,2022,8.679967673128907
97,johnson & johnson,2023,50.47619555271583
98,johnson & johnson,2024,-33.39218117295542
99,johnson & johnson,2025,-74.76605507916483
100,jpmorgan chase & co,2022,-9.542581717847023
101,jpmorgan chase & co,2023,-10.264715716606238
102,jpmorgan chase & co,2024,34.797372078569076
103,jpmorgan chase & co,2025,-73.57027111367424
104,logitech,2022,-38.327161119418605
105,logitech,2023,-29.991605928690884
106,logitech,2024,26.192053822649434
107,logitech,2025,-65.48336166711054
108,lvmh,2022,27.56751949502427
109,lvmh,2023,15.79382868647275
110,lvmh,2024,49.71643830733467
111,lvmh,2025,-80.07792695043435
112,marriott,2022,11.773358634661959
113,marriott,2023,-5.727314921773517
114,marriott,2024,21.26249819737799
115,marriott,2025,-75.02153367898148
116,mastercard,2022,-18.48763068086486
117,mastercard,2023,-12.55949251046546
118,mastercard,2024,28.60569141979909
119,mastercard,2025,-76.46954706050494
120,mcdonald's,2022,19.98491142760851
121,mcdonald's,2023,3.1305489809346416
122,mcdonald's,2024,43.97262289278538
123,mcdonald's,2025,-79.90679286568985
124,microsoft,2022,19.071869119768454
125,microsoft,2023,3.3536485378992196
126,microsoft,2024,12.340006161969717
127,microsoft,2025,-78.49094711679295
128,netflix,2022,33.30807575161715
129,netflix,2023,-15.202054170851445
130,netflix,2024,6.139141383614142
131,netflix,2025,-66.4457172933625
132,nike,2022,-6.786935646744259
133,nike,2023,-2.483374009285557
134,nike,2024,33.80910462371888
135,nike,2025,-81.57200081948534
136,nintendo,2022,-45.979010874986116
137,nintendo,2023,-35.55506950412085
138,nintendo,2024,10.277290530938826
139,nintendo,2025,-37.786262246567105
140,nordstrom,2022,-5.018162699877394
141,nordstrom,2023,-27.84451871763749
142,nordstrom,2024,-24.412973138372358
143,nordstrom,2025,-82.25227853588683
144,nvidia,2022,37.06535563804765
145,nvidia,2023,73.67738747224283
146,nvidia,2024,140.86119092392138
147,nvidia,2025,-81.34894653524842
148,peloton,2022,-68.84268750620932
149,peloton,2023,-69.13798407535259
150,peloton,2024,-0.1914990524306032
151,peloton,2025,-70.82365685067097
152,philips,2022,35.2579449430247
153,philips,2023,-51.85430786375874
154,philips,2024,3.288175772026188
155,philips,2025,-82.40926134752608
156,pinterest,2022,-56.27012531724389
157,pinterest,2023,-8.57887389346487
158,pinterest,2024,23.54188600024874
159,pinterest,2025,-75.55086323188559
160,porsche,2022,-45.4339026209455
161,porsche,2023,-55.798374220753
162,porsche,2024,-5.9062627763074484
163,porsche,2025,-87.99087675321053
164,procter & gamble,2022,2.5469287211378147
165,procter & gamble,2023,-11.712968443047213
166,procter & gamble,2024,29.26909016836089
167,procter & gamble,2025,-78.08649828563992
168,puma,2022,-20.481391779681772
169,puma,2023,17.77606370747914
170,puma,2024,-21.458718148004408
171,puma,2025,-51.379081971072395
172,roblox,2022,5.349783086763911
173,roblox,2023,-59.96581217346194
174,roblox,2024,-13.158003892689676
175,roblox,2025,-63.11274289920118
176,salesforce / slack,2022,-11.49885212726226
177,salesforce / slack,2023,-2.5810100571873558
178,salesforce / slack,2024,51.25171498554843
179,salesforce / slack,2025,-75.96083086464462
180,shopify,2022,-10.167625699790687
181,shopify,2023,-46.600082879319245
182,shopify,2024,-3.901489349056955
183,shopify,2025,-73.75439924015204
184,southwest airlines,2022,-34.58488924764955
185,southwest airlines,2023,-9.54734750548638
186,southwest airlines,2024,25.024077240834448
187,southwest airlines,2025,-78.62255190864228
188,spotify,2022,-35.86089091698364
189,spotify,2023,6.638867074199403
190,spotify,2024,185.76902396703701
